"chemical_ID","score","Module_RTclust","mz","time","MatchCategory","theoretical.mz","Name","Formula","MonoisotopicMass","Adduct","ISgroup","mean_int_vec","MD"
"HMDB33229",0,"7_1",289.13933,537.3,"Multiple","289.14103","Absindiol","C15H22O4","266.151809192","2M+2Na","ISgroup_7_12_14",5861064.3,0.139
"HMDB33229",0,"7_1",289.13933,537.3,"Multiple","289.14103","Absindiol","C15H22O4","266.151809192","M+Na","ISgroup_7_12_14",5861064.3,0.139
"HMDB33229",0,"4_1",153.06008,403.3,"Multiple","153.06112","Absindiol","C15H22O4","266.151809192","M+H+K","ISgroup_4_5_7",14279827,0.06
"HMDB33235",0,"1_1",138.05587,230.9,"Multiple","138.05456","812-Epoxy-4(15)711-eudesmatrien-1-one","C15H18O2","230.13067982","M+2Na","ISgroup_1_3_6",450330980.4,0.056
"HMDB33235",0,"12_1",138.05503,379.6,"Multiple","138.05456","812-Epoxy-4(15)711-eudesmatrien-1-one","C15H18O2","230.13067982","M+2Na","ISgroup_12_9_6",243089071.2,0.055
"HMDB33239",0,"1_1",123.09695,345.8,"Multiple","123.09743","Pogostol","C15H26O","222.198365454","M+H+Na","ISgroup_1_13_10",10614389,0.097
"HMDB33240",0,"7_1",190.01268,403,"Multiple","190.01437","Grevilline B","C18H12O7","340.058302738","M+H+K","ISgroup_7_11_2",2291827.3,0.013
"HMDB33248",0,"7_1",268.10411,213.6,"Multiple","268.10177","Di-alpha-furfuryl ether","C10H10O3","178.062994186","3M+2H","ISgroup_7_4_11",157660140.9,0.104
"HMDB33249",0,"17_1",156.07687,584.2,"Multiple","156.07834","6-Chloro-N-(1-methylethyl)-135-triazine-24-diamine","C6H10ClN5","187.062473052","M+3ACN+2H","ISgroup_17_22_8",11104526.1,0.077
"HMDB33252",0,"17_1",137.06522,230.3,"Multiple","137.06621","Curcumanolide A","C15H22O2","234.161979948","M+H+K","ISgroup_17_1_7",14420037.4,0.065
"HMDB33253",0,"17_1",137.06522,230.3,"Multiple","137.06621","Curcumenone","C15H22O2","234.161979948","M+H+K","ISgroup_17_1_7",14420037.4,0.065
"HMDB33258",0,"7_5",223.06353,494.4,"Multiple","223.06532","Isoyatein","C22H24O7","400.152203122","M+2Na","ISgroup_7_11_7",901529.8,0.064
"HMDB33258",0,"7_1",223.06362,443.3,"Multiple","223.06532","Isoyatein","C22H24O7","400.152203122","M+2Na","ISgroup_7_11_7",1055845.1,0.064
"HMDB33268",0,"7_1",177.03615,402.9,"Multiple","177.03522","135-Trihydroxy-67-dimethoxy-2-methylanthraquinone","C17H14O7","330.073952802","M+H+Na","ISgroup_7_11_4",14161599.7,0.036
"HMDB33270",0,"11_1",209.04795,593.1,"Multiple","209.04967","Sesamolinol","C20H20O7","372.120902994","M+2Na","ISgroup_11_40_5",28118610.5,0.048
"HMDB33272",0,"7_1",225.07926,455.1,"Multiple","225.08097","Dihydroclusin","C22H28O7","404.18350325","M+2Na","ISgroup_7_11_8",1226655.9,0.079
"HMDB33272",0,"10_1",225.07927,383.1,"Multiple","225.08097","Dihydroclusin","C22H28O7","404.18350325","M+2Na","ISgroup_10_15_8",2296630.4,0.079
"HMDB33286",9,"2_1",131.0704,496.2,"Multiple","131.07027","Sherry lactone","C6H10O3","130.062994186","M+H","ISgroup_2_21_8",6485799.3,0.07
"HMDB33286",9,"18_1",131.07037,460.5,"Multiple","131.07027","Sherry lactone","C6H10O3","130.062994186","M+H","ISgroup_18_25_8",7495198.4,0.07
"HMDB33293",0,"7_1",171.0765,598.8,"Multiple","171.07803","5-Methoxy-17-diphenyl-3-heptanone","C20H24O2","296.177630012","M+2Na","ISgroup_7_12_8",1126739.1,0.077
"HMDB33294",0,"10_1",179.07372,496,"Multiple","179.07549","5-Methoxy-7-(4-hydroxyphenyl)-1-phenyl-3-heptanone","C20H24O3","312.172544634","M+2Na","ISgroup_10_21_8",36139659,0.074
"HMDB33295",0,"7_1",152.07067,130,"Multiple","152.07141","7-(4-Hydroxyphenyl)-1-phenyl-4-hepten-3-one","C19H20O2","280.146329884","M+H+Na","ISgroup_7_1_8",29759399.2,0.071
"HMDB33296",0,"11_1",333.12932,608.9,"Multiple","333.12832","Kuwanon Y","C34H30O9","582.188982558","M+2ACN+2H","ISgroup_11_40_13",23456754.2,0.129
"HMDB33296",0,"16_1",195.06869,550.1,"Multiple","195.07027","Kuwanon Y","C34H30O9","582.188982558","M+3H","ISgroup_16_10_7",2230737.6,0.069
"HMDB33296",0,"18_1",195.06871,576.2,"Multiple","195.07027","Kuwanon Y","C34H30O9","582.188982558","M+3H","ISgroup_18_36_7",759014.4,0.069
